Table S1. Accession information for genomes screened in the current study				
				
Species	Strain ID	NCBI Genome Accession	Publication	SRA accession
Y. pestis	F1954001	ADSC00000000 	Cui et al. 2012	SRR069127
Y. pestis	F1984001	ADSD00000000 	Cui et al. 2012	SRR069175
Y. pestis	G1996006	ADSE00000000 	Cui et al. 2012	SRR069108
Y. pestis	G1996010	ADSF00000000 	Cui et al. 2012	SRR069107
Y. pestis	G8786	ADSG00000000 	Cui et al. 2012	SRR069198
Y. pestis	H1958004	ADSH00000000 	Cui et al. 2012	SRR069169
Y. pestis	H1959004	ADSI00000000 	Cui et al. 2012	SRR069115
Y. pestis	I160001	ADSJ00000000 	Cui et al. 2012	SRR069199
Y. pestis	I1969003	ADSK00000000 	Cui et al. 2012	SRR069152
Y. pestis	I1970005	ADSL00000000 	Cui et al. 2012	SRR069191
Y. pestis	I1991001	ADSM00000000 	Cui et al. 2012	SRR069093
Y. pestis	I1994006	ADSN00000000 	Cui et al. 2012	SRR069146
Y. pestis	I2001001	ADSO00000000 	Cui et al. 2012	SRR069154
Y. pestis	J1963002	ADSP00000000 	Cui et al. 2012	SRR069174
Y. pestis	J1978002	ADSQ00000000 	Cui et al. 2012	SRR069149
Y. pestis	K21985002	ADSS00000000 	Cui et al. 2012	SRR069165
Y. pestis	M0000002	ADST00000000 	Cui et al. 2012	SRR069196
Y. pestis	MGJZ11	ADSU00000000 	Cui et al. 2012	SRR069200
Y. pestis	MGJZ12	ADSV00000000 	Cui et al. 2012	SRR069201
Y. pestis	MGJZ3	ADSW00000000 	Cui et al. 2012	SRR069202
Y. pestis	MGJZ6	ADSX00000000 	Cui et al. 2012	SRR069203
Y. pestis	MGJZ7	ADSY00000000 	Cui et al. 2012	SRR069204
Y. pestis	MGJZ9	ADSZ00000000 	Cui et al. 2012	SRR069205
Y. pestis	SHAN11	ADTA00000000 	Cui et al. 2012	SRR069206
Y. pestis	SHAN12	ADTB00000000 	Cui et al. 2012	SRR069207
Y. pestis	YN1065	ADTC00000000 	Cui et al. 2012	SRR069208
Y. pestis	YN1683	ADTD00000000 	Cui et al. 2012	SRR069209
Y. pestis	YN2179	ADTE00000000 	Cui et al. 2012	SRR069210
Y. pestis	YN2551	ADTF00000000 	Cui et al. 2012	SRR069212
Y. pestis	YN2588	ADTG00000000 	Cui et al. 2012	SRR069213
Y. pestis	YN472	ADTH00000000 	Cui et al. 2012	SRR069214
Y. pestis	YN663	ADTI00000000 	Cui et al. 2012	SRR069215
Y. pestis	K11973002	NZ_AAYT00000000	Cui et al. 2012	SRR069166
Y. pestis	E1979001	NZ_AAYV00000000	Cui et al. 2012	SRR069216
Y. pestis	CO92	AL590842	Parkhill et al. 2001	N/A
Y. pestis	KIM10+	NC_004088	Deng et al. 2002	N/A
Y. pestis	91001	NC_005810	Zhou et al. 2004	N/A
Y. pestis	Antiqua	NC_008150	Chain et al. 2006	N/A
Y. pestis	PestoidesF	NC_009381	Copeland et al. unpub	N/A
Y. pestis	Angola	NC_010159	Eppinger et al. 2010	N/A
Y. pestis	IP275	NZ_AAOS00000000	Morelli et al. 2010	N/A
Y. pestis	UG05	NZ_AAYR00000000	Morelli et al. 2010	N/A
Y. pestis	MG05	NZ_AAYS00000000	Morelli et al. 2010	N/A
Y. pestis	B42003004	NZ_AAYU00000000	Eppinger et al. 2009	N/A
Y. pestis	F1991016	NZ_ABAT00000000	Eppinger et al. 2009	N/A
Y. pestis	CA88	NZ_ABCD00000000	Plunkett et al. unpub	N/A
Y. pestis	Nepal516	NZ_ACNQ00000000	Chain et al. 2006	N/A
Y. pestis	India195	NZ_ACNR00000000	Plunkett et al. unpub	N/A
Y. pestis	PestoidesA	NZ_ACNT00000000	Plunkett et al. unpub	N/A
